,District,City,date,pm25,pm10,so2,o3,no2,co
0,강원도,강릉,2010.01,,48.0,0.007,0.024,0.02,0.6
1,강원도,강릉,2010.02,,51,0.006,0.022,0.022,0.6
2,강원도,강릉,2010.03,,62.0,0.006,0.028,0.02,0.5
3,강원도,강릉,2010.04,,51,0.006,0.036,0.02,0.5
4,강원도,강릉,2010.05,,51,0.004,0.044,0.017,0.4
5,강원도,강릉,2010.06,,45,0.003,0.035,0.022,0.4
6,강원도,강릉,2010.07,,33,0.003,0.023,0.015,0.3
7,강원도,강릉,2010.08,,35,0.004,0.019,0.016,0.4
8,강원도,강릉,2010.09,,26,0.002,0.02,0.014,0.3
9,강원도,강릉,2010.10,,31.0,0.004,0.022,0.016,0.4
10,강원도,강릉,2010.11,,57.0,0.006,0.026,0.018,0.5
11,강원도,강릉,2010.12,,52.0,0.006,0.023,0.018,0.5
12,강원도,강릉,2011.01,,39,0.008,0.024,0.019,0.6
13,강원도,강릉,2011.02,,62.0,0.011,0.025,0.025,0.7
14,강원도,강릉,2011.03,,67.0,0.009,0.035,0.019,0.5
15,강원도,강릉,2011.04,,62.0,0.006,0.043,0.017,0.5
16,강원도,강릉,2011.05,,62.0,0.004,0.035,0.017,0.4
17,강원도,강릉,2011.06,,36,0.004,0.039,0.014,0.3
18,강원도,강릉,2011.07,,27,0.002,0.021,0.014,0.3
19,강원도,강릉,2011.08,,22,0.002,0.022,0.012,0.3
20,강원도,강릉,2011.09,,27,0.003,0.027,0.012,0.3
21,강원도,강릉,2011.10,,38.0,0.004,0.026,0.016,0.4
22,강원도,강릉,2011.11,,45.0,0.006,0.021,0.017,0.5
23,강원도,강릉,2011.12,,37.0,0.008,0.021,0.016,0.5
24,강원도,강릉,2012.01,,53.0,0.011,0.017,0.017,0.7
25,강원도,강릉,2012.02,,46,0.008,0.019,0.016,0.5
26,강원도,강릉,2012.03,,50.0,0.007,0.029,0.016,0.6
27,강원도,강릉,2012.04,,57.0,0.004,0.034,0.014,0.4
28,강원도,강릉,2012.05,,47,0.004,0.037,0.015,0.4
29,강원도,강릉,2012.06,,38,0.003,0.03,0.013,0.3
30,강원도,강릉,2012.07,,27,0.002,0.026,0.011,0.3
31,강원도,강릉,2012.08,,21,0.002,0.02,0.011,0.4
32,강원도,강릉,2012.09,,24.0,0.003,0.025,0.011,0.4
33,강원도,강릉,2012.10,,34,0.004,0.028,0.013,0.5
34,강원도,강릉,2012.11,,41,0.006,0.023,0.013,0.6
35,강원도,강릉,2012.12,,36,0.008,0.019,0.015,0.6
36,강원도,강릉,2013.01,,55.0,0.01,0.022,0.019,0.7
37,강원도,강릉,2013.02,,47.0,0.007,0.029,0.016,0.7
38,강원도,강릉,2013.03,,55.0,0.006,0.036,0.015,0.6
39,강원도,강릉,2013.04,,45,0.005,0.039,0.012,0.6
40,강원도,강릉,2013.05,,44,0.003,0.037,0.012,0.3
41,강원도,강릉,2013.06,,30.0,0.004,0.025,0.012,0.2
42,강원도,강릉,2013.07,,29,0.002,0.026,0.01,0.3
43,강원도,강릉,2013.08,,33,0.002,0.031,0.009,0.4
44,강원도,강릉,2013.09,,31.0,0.003,0.023,0.01,0.5
45,강원도,강릉,2013.10,,30,0.004,0.024,0.012,0.8
46,강원도,강릉,2013.11,,35,0.006,0.023,0.012,1.2
47,강원도,강릉,2013.12,,45,0.008,0.018,0.015,0.7
48,강원도,강릉,2014.01,,51,0.008,0.02,0.013,0.7
49,강원도,강릉,2014.02,,56,0.004,0.012,0.018,0.8
50,강원도,강릉,2014.03,,60,0.004,0.027,0.013,0.5
51,강원도,강릉,2014.04,,56.0,0.005,0.038,0.012,0.5
52,강원도,강릉,2014.05,,56.0,0.003,0.043,0.014,0.3
53,강원도,강릉,2014.06,,41,0.002,0.032,0.012,0.2
54,강원도,강릉,2014.07,,37.0,0.002,0.036,0.013,0.3
55,강원도,강릉,2014.08,,32.0,0.002,0.029,0.012,0.2
56,강원도,강릉,2014.09,,32.0,0.002,0.027,0.01,0.7
57,강원도,강릉,2014.10,,39,0.003,0.027,0.014,0.7
58,강원도,강릉,2014.11,,39,0.005,0.022,0.016,0.8
59,강원도,강릉,2014.12,,50**,0.007,0.024**,0.013,0.6
60,강원도,강릉,2015.01,20,48.0,0.007,0.022,0.014,0.8
61,강원도,강릉,2015.02,24,74.0,0.007,0.025,0.014,0.6
62,강원도,강릉,2015.03,25,72,0.006,0.032,0.015,0.6
63,강원도,강릉,2015.04,20,55,0.004,0.037,0.012,0.4
64,강원도,강릉,2015.05,21,54,0.003,0.046,0.012,0.4
65,강원도,강릉,2015.06,21,43.0,0.003,0.039,0.011,0.3
66,강원도,강릉,2015.07,17,34,0.002,0.027,0.01,0.3
67,강원도,강릉,2015.08,22,37,0.002,0.033,0.009,0.3
68,강원도,강릉,2015.09,12,34,0.002,0.026,0.01,0.4
69,강원도,강릉,2015.11,14,39,0.004,0.022,0.014,0.5
70,강원도,강릉,2015.12,25,46,0.005,0.021,0.016,0.6
71,강원도,강릉,2016.01,28,43,0.004,0.026,0.015,0.6
72,강원도,강릉,2016.02,28,49,0.005,0.029,0.015,0.8
73,강원도,강릉,2016.03,35,63,0.005,0.034,0.018,0.5
74,강원도,강릉,2016.04,30,69,0.003,0.042,0.015,0.4
75,강원도,강릉,2016.05,32,58,0.002,0.048,0.015,0.4
76,강원도,강릉,2016.06,30,44,0.002,0.039,0.014,0.3
77,강원도,강릉,2016.07,23,33,0.002,0.026,0.011,0.3
78,강원도,강릉,2016.08,17,33,0.002,0.026,0.007,0.3
79,강원도,강릉,2016.09,25,38,0.002,0.024,0.009,0.4
80,강원도,강릉,2016.11,29,53,0.004,0.023,0.017,0.7
81,강원도,강릉,2016.12,26,40,0.005,0.022,0.015,0.6
82,강원도,강릉,2017.01,30,48,0.005,0.011,0.011,0.6
83,강원도,강릉,2017.02,29,52,0.004,0.031,0.013,0.5
84,강원도,강릉,2017.03,37,62.0,0.004,0.015,0.015,0.4
85,강원도,강릉,2017.04,27,55.0,0.003,0.048,0.008,0.3
86,강원도,강릉,2017.05,29,61,0.003,0.052,0.014,0.3
87,강원도,강릉,2017.06,24,38,0.001,0.042,0.012,0.3
88,강원도,강릉,2017.07,21,33,0.001,0.033,0.011,0.2
89,강원도,강릉,2017.08,15,29,0.002,0.022,0.013,0.3
90,강원도,강릉,2017.09,21,41,0.003,0.034,0.012,0.5
91,강원도,강릉,2017.11,21,37,0.003,0.029,0.012,0.6
92,강원도,강릉,2017.12,25*,29,0.004,0.025,0.012,0.6
93,강원도,강릉,2018.01,27*,33,0.005,0.027,0.02,0.5
94,강원도,강릉,2018.02,23,37,0.005,0.03,0.011,0.5
95,강원도,강릉,2018.03,25,37,0.005,0.038,0.015,0.4
96,강원도,강릉,2018.04,24,49,0.002,0.044,0.015,0.3
97,강원도,강릉,2018.05,21,47,0.002,0.046,0.013,0.3
98,강원도,강릉,2018.06,18,37,0.002,0.048,0.013,0.3
99,강원도,강릉,2018.07,17,32,0.002,0.033,0.011,0.2
100,강원도,강릉,2018.08,13,31,0.002,0.025,0.01,0.3
101,강원도,강릉,2018.09,17,24,0.003,0.027,0.012,0.3
102,강원도,강릉,2018.11,19,46,0.003,0.028,0.018,0.3
