District,City,year,pm25,pm10,so2,o3,no2,co
강원도,강릉,2015,19.75,48.58,0.0,0.03,0.01,0.47
강원도,강릉,2016,27.25,47.25,0.0,0.03,0.01,0.48
강원도,강릉,2017,24.67,43.67,0.0,0.03,0.01,0.42
강원도,강릉,2018,19.5,35.0,0.0,0.03,0.01,0.32
강원도,강릉,2019,18.09,35.46,0.0,0.04,0.01,0.31
강원도,강릉,2020,14.27,29.67,0.0,0.04,0.01,0.46
강원도,강릉,2021,11.25,32.0,0.0,0.04,0.01,0.32
강원도,강릉,2022,13.54,26.82,0.0,0.04,0.01,0.28
강원도,고성,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,고성,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,고성,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,고성,2018,17.0,28.0,0.0,0.02,0.01,0.4
강원도,고성,2019,16.83,32.42,0.0,0.03,0.01,0.42
강원도,고성,2020,13.25,25.08,0.0,0.03,0.0,0.36
강원도,고성,2021,13.25,25.5,0.0,0.03,0.0,0.41
강원도,고성,2022,13.73,21.54,0.0,0.04,0.0,0.37
강원도,동해,2015,26.47,40.08,0.0,0.03,0.02,0.53
강원도,동해,2016,20.75,37.42,0.0,0.03,0.02,0.49
강원도,동해,2017,19.58,35.75,0.0,0.03,0.02,0.48
강원도,동해,2018,19.08,34.17,0.0,0.03,0.02,0.4
강원도,동해,2019,18.75,32.92,0.0,0.03,0.02,0.43
강원도,동해,2020,16.25,25.25,0.0,0.03,0.01,0.41
강원도,동해,2021,16.18,26.91,0.0,0.03,0.01,0.44
강원도,동해,2022,14.0,25.46,0.0,0.04,0.01,0.37
강원도,삼척,2015,26.47,42.08,0.0,0.03,0.02,0.55
강원도,삼척,2016,23.25,43.42,0.0,0.03,0.02,0.48
강원도,삼척,2017,21.58,37.42,0.0,0.03,0.01,0.39
강원도,삼척,2018,18.17,31.83,0.0,0.03,0.01,0.38
강원도,삼척,2019,17.25,31.83,0.0,0.03,0.01,0.36
강원도,삼척,2020,12.92,24.75,0.0,0.03,0.01,0.34
강원도,삼척,2021,10.92,24.0,0.0,0.03,0.01,0.35
강원도,삼척,2022,13.36,22.82,0.0,0.04,0.01,0.33
강원도,속초,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,속초,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,속초,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,속초,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,속초,2019,17.08,36.67,0.0,0.04,0.01,0.47
강원도,속초,2020,11.42,32.0,0.0,0.04,0.01,0.42
강원도,속초,2021,12.5,27.67,0.0,0.03,0.01,0.42
강원도,속초,2022,10.73,23.27,0.0,0.03,0.01,0.33
강원도,양구,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,양구,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,양구,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,양구,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,양구,2019,20.17,36.67,0.0,0.03,0.01,0.47
강원도,양구,2020,16.92,26.33,0.0,0.03,0.01,0.48
강원도,양구,2021,15.75,29.08,0.0,0.03,0.01,0.48
강원도,양구,2022,13.9,21.82,0.0,0.03,0.01,0.4
강원도,양양,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,양양,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,양양,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,양양,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,양양,2019,15.33,30.58,0.0,0.04,0.01,0.45
강원도,양양,2020,13.08,24.17,0.0,0.04,0.01,0.42
강원도,양양,2021,10.92,24.83,0.0,0.04,0.01,0.5
강원도,양양,2022,11.54,22.0,0.0,0.04,0.01,0.41
강원도,영월,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,영월,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,영월,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,영월,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,영월,2019,25.58,40.58,0.0,0.03,0.01,0.44
강원도,영월,2020,20.75,32.67,0.0,0.03,0.01,0.43
강원도,영월,2021,13.42,29.67,0.0,0.03,0.01,0.46
강원도,영월,2022,14.64,25.82,0.0,0.03,0.01,0.46
강원도,원주,2015,33.33,57.33,0.0,0.02,0.02,0.69
강원도,원주,2016,35.17,52.0,0.0,0.02,0.02,0.66
강원도,원주,2017,31.75,50.33,0.0,0.03,0.02,0.54
강원도,원주,2018,28.58,43.0,0.0,0.03,0.02,0.48
강원도,원주,2019,26.42,43.92,0.0,0.03,0.02,0.48
강원도,원주,2020,19.92,31.67,0.0,0.03,0.02,0.46
강원도,원주,2021,18.25,34.5,0.0,0.03,0.01,0.43
강원도,원주,2022,17.0,30.91,0.0,0.03,0.01,0.46
강원도,인제,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,인제,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,인제,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,인제,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,인제,2019,15.78,26.78,0.0,0.03,0.0,0.46
강원도,인제,2020,15.5,24.75,0.0,0.03,0.0,0.4
강원도,인제,2021,11.67,28.17,0.0,0.03,0.01,0.48
강원도,인제,2022,11.09,23.36,0.0,0.03,0.01,0.34
강원도,정선,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,정선,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,정선,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,정선,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,정선,2019,20.25,34.83,0.0,0.04,0.01,0.42
강원도,정선,2020,16.92,30.33,0.0,0.04,0.01,0.4
강원도,정선,2021,11.5,33.17,0.0,0.03,0.01,0.4
강원도,정선,2022,13.6,28.46,0.0,0.04,0.01,0.31
강원도,철원,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,철원,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,철원,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,철원,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,철원,2019,21.75,39.08,0.0,0.04,0.01,0.48
강원도,철원,2020,20.42,32.75,0.0,0.03,0.01,0.43
강원도,철원,2021,16.08,34.75,0.0,0.04,0.01,0.43
강원도,철원,2022,14.82,28.73,0.0,0.03,0.01,0.33
강원도,춘천,2015,26.33,53.42,0.0,0.03,0.02,0.61
강원도,춘천,2016,27.0,48.92,0.0,0.03,0.02,0.57
강원도,춘천,2017,24.5,45.5,0.0,0.03,0.02,0.53
강원도,춘천,2018,21.5,40.08,0.0,0.03,0.02,0.49
강원도,춘천,2019,21.58,43.08,0.0,0.03,0.02,0.51
강원도,춘천,2020,19.92,33.5,0.0,0.03,0.01,0.48
강원도,춘천,2021,17.0,33.92,0.0,0.03,0.01,0.47
강원도,춘천,2022,15.18,27.82,0.0,0.03,0.01,0.39
강원도,태백,2015,26.47,48.3,0.0,0.03,0.02,0.57
