District,City,year,pm25,pm10,so2,o3,no2,co,AVG
강원도,강릉,2015,19.75,48.58,0.0,0.03,0.01,0.47,82.11
강원도,강릉,2016,27.25,47.25,0.0,0.03,0.01,0.48,82.56
강원도,강릉,2017,24.67,43.67,0.0,0.03,0.01,0.42,82.94
강원도,강릉,2018,19.5,35.0,0.0,0.03,0.01,0.32,83.16
강원도,강릉,2019,18.09,35.46,0.0,0.04,0.01,0.31,83.44
강원도,강릉,2020,14.27,29.67,0.0,0.04,0.01,0.46,83.82
강원도,고성,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.26
강원도,고성,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.75
강원도,고성,2017,24.42,42.53,0.0,0.03,0.02,0.47,80.81
강원도,고성,2018,17.0,28.0,0.0,0.02,0.01,0.4,81.12
강원도,고성,2019,16.83,32.42,0.0,0.03,0.01,0.42,81.44
강원도,고성,2020,13.25,25.08,0.0,0.03,0.0,0.36,81.94
강원도,동해,2015,26.47,40.08,0.0,0.03,0.02,0.53,80.87
강원도,동해,2016,20.75,37.42,0.0,0.03,0.02,0.49,81.41
강원도,동해,2017,19.58,35.75,0.0,0.03,0.02,0.48,81.86
강원도,동해,2018,19.08,34.17,0.0,0.03,0.02,0.4,81.98
강원도,동해,2019,18.75,32.92,0.0,0.03,0.02,0.43,82.46
강원도,동해,2020,16.25,25.25,0.0,0.03,0.01,0.41,82.54
강원도,삼척,2015,26.47,42.08,0.0,0.03,0.02,0.55,81.36
강원도,삼척,2016,23.25,43.42,0.0,0.03,0.02,0.48,81.78
강원도,삼척,2017,21.58,37.42,0.0,0.03,0.01,0.39,82.23
강원도,삼척,2018,18.17,31.83,0.0,0.03,0.01,0.38,82.26
강원도,삼척,2019,17.25,31.83,0.0,0.03,0.01,0.36,82.54
강원도,삼척,2020,12.92,24.75,0.0,0.03,0.01,0.34,82.75
강원도,속초,2015,26.47,48.3,0.0,0.03,0.02,0.57,81.88
강원도,속초,2016,26.68,45.8,0.0,0.03,0.02,0.54,82.24
강원도,속초,2017,24.42,42.53,0.0,0.03,0.02,0.47,82.81
강원도,속초,2018,21.31,36.3,0.0,0.03,0.01,0.44,82.86
강원도,속초,2019,17.08,36.67,0.0,0.04,0.01,0.47,82.96
강원도,속초,2020,11.42,32.0,0.0,0.04,0.01,0.42,83.25
강원도,양구,2015,26.47,48.3,0.0,0.03,0.02,0.57,81.22
강원도,양구,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.61
강원도,양구,2017,24.42,42.53,0.0,0.03,0.02,0.47,82.12
강원도,양구,2018,21.31,36.3,0.0,0.03,0.01,0.44,82.68
강원도,양구,2019,20.17,36.67,0.0,0.03,0.01,0.47,82.91
강원도,양구,2020,16.92,26.33,0.0,0.03,0.01,0.48,82.86
강원도,양양,2015,26.47,48.3,0.0,0.03,0.02,0.57,81.2
강원도,양양,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.4
강원도,양양,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.69
강원도,양양,2018,21.31,36.3,0.0,0.03,0.01,0.44,82.22
강원도,양양,2019,15.33,30.58,0.0,0.04,0.01,0.45,82.42
강원도,양양,2020,13.08,24.17,0.0,0.04,0.01,0.42,83.09
강원도,영월,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.02
강원도,영월,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.5
강원도,영월,2017,24.42,42.53,0.0,0.03,0.02,0.47,80.7
강원도,영월,2018,21.31,36.3,0.0,0.03,0.01,0.44,81.28
강원도,영월,2019,25.58,40.58,0.0,0.03,0.01,0.44,81.94
강원도,영월,2020,20.75,32.67,0.0,0.03,0.01,0.43,82.3
강원도,원주,2015,33.33,57.33,0.0,0.02,0.02,0.69,81.98
강원도,원주,2016,35.17,52.0,0.0,0.02,0.02,0.66,82.32
강원도,원주,2017,31.75,50.33,0.0,0.03,0.02,0.54,82.49
강원도,원주,2018,28.58,43.0,0.0,0.03,0.02,0.48,82.85
강원도,원주,2019,26.42,43.92,0.0,0.03,0.02,0.48,83.22
강원도,원주,2020,19.92,31.67,0.0,0.03,0.02,0.46,83.55
강원도,인제,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.8
