District,City,year,pm25,pm10,so2,o3,no2,co,AVG
강원도,강릉,2015,19.75,48.583,0.004,0.03,0.012,0.467,82.11
강원도,강릉,2016,27.25,47.25,0.003,0.03,0.014,0.483,82.56
강원도,강릉,2017,24.667,43.667,0.003,0.031,0.012,0.425,82.94
강원도,강릉,2018,19.5,35.0,0.003,0.034,0.013,0.325,83.16
강원도,강릉,2019,18.091,35.455,0.002,0.037,0.012,0.309,83.44
강원도,강릉,2020,14.273,29.667,0.002,0.036,0.012,0.458,83.82
강원도,고성,2018,17.0,28.0,0.002,0.024,0.006,0.4,81.12
강원도,고성,2019,16.833,32.417,0.002,0.034,0.006,0.425,81.44
강원도,고성,2020,13.25,25.083,0.002,0.034,0.005,0.358,81.94
강원도,동해,2016,20.75,37.417,0.002,0.027,0.017,0.492,81.41
강원도,동해,2017,19.583,35.75,0.003,0.03,0.016,0.475,81.86
강원도,동해,2018,19.083,34.167,0.002,0.032,0.016,0.4,81.98
강원도,동해,2019,18.75,32.917,0.002,0.032,0.016,0.433,82.46
강원도,동해,2020,16.25,25.25,0.002,0.026,0.012,0.408,82.54
강원도,삼척,2016,23.25,43.417,0.003,0.03,0.016,0.483,81.78
강원도,삼척,2017,21.583,37.417,0.003,0.03,0.014,0.392,82.23
강원도,삼척,2018,18.167,31.833,0.002,0.031,0.014,0.383,82.26
강원도,삼척,2019,17.25,31.833,0.002,0.031,0.014,0.358,82.54
강원도,삼척,2020,12.917,24.75,0.003,0.027,0.011,0.342,82.75
강원도,속초,2019,17.083,36.667,0.005,0.039,0.011,0.467,82.96
강원도,속초,2020,11.417,32.0,0.004,0.035,0.009,0.417,83.25
강원도,양구,2019,20.167,36.667,0.002,0.027,0.009,0.473,82.91
강원도,양구,2020,16.917,26.333,0.002,0.029,0.008,0.475,82.86
강원도,양양,2019,15.333,30.583,0.002,0.038,0.007,0.45,82.42
강원도,양양,2020,13.083,24.167,0.002,0.036,0.006,0.417,83.09
강원도,영월,2019,25.583,40.583,0.002,0.031,0.008,0.442,81.94
강원도,영월,2020,20.75,32.667,0.003,0.03,0.008,0.433,82.3
강원도,원주,2015,33.333,57.333,0.005,0.025,0.022,0.692,81.98
강원도,원주,2016,35.167,52.0,0.004,0.024,0.022,0.658,82.32
강원도,원주,2017,31.75,50.333,0.004,0.028,0.02,0.542,82.49
강원도,원주,2018,28.583,43.0,0.003,0.026,0.018,0.475,82.85
강원도,원주,2019,26.417,43.917,0.003,0.028,0.017,0.475,83.22
강원도,원주,2020,19.917,31.667,0.003,0.026,0.015,0.458,83.55
강원도,인제,2019,15.778,26.778,0.002,0.034,0.005,0.456,81.81
강원도,인제,2020,15.5,24.75,0.002,0.031,0.005,0.4,82.08
강원도,정선,2019,20.25,34.833,0.002,0.035,0.009,0.425,81.61
강원도,정선,2020,16.917,30.333,0.002,0.036,0.009,0.4,81.77
강원도,철원,2019,21.75,39.083,0.004,0.036,0.008,0.475,80.92
강원도,철원,2020,20.417,32.75,0.003,0.034,0.007,0.433,81.5
강원도,춘천,2015,26.333,53.417,0.004,0.029,0.018,0.608,82.46
강원도,춘천,2016,27.0,48.917,0.003,0.028,0.016,0.567,82.84
강원도,춘천,2017,24.5,45.5,0.003,0.027,0.016,0.533,83.18
강원도,춘천,2018,21.5,40.083,0.003,0.028,0.017,0.492,83.55
강원도,춘천,2019,21.583,43.083,0.003,0.028,0.016,0.508,83.83
강원도,춘천,2020,19.917,33.5,0.002,0.028,0.012,0.483,84.3
강원도,태백,2019,20.727,35.364,0.003,0.039,0.009,0.355,82.3
강원도,태백,2020,17.917,27.167,0.003,0.037,0.008,0.417,82.51
강원도,평창,2018,22.667,35.333,0.001,0.029,0.01,0.45,81.81
강원도,평창,2019,24.083,41.833,0.002,0.029,0.01,0.375,82.53
강원도,평창,2020,16.583,35.0,0.002,0.03,0.01,0.317,82.94
강원도,홍천,2019,22.364,36.182,0.003,0.027,0.014,0.445,81.68
강원도,홍천,2020,21.0,36.5,0.003,0.025,0.014,0.467,81.89
강원도,화천,2019,17.364,32.182,0.001,0.028,0.006,0.491,82.81
강원도,화천,2020,16.0,26.417,0.002,0.028,0.007,0.45,82.93
강원도,횡성,2018,24.0,43.0,0.002,0.014,0.018,0.6,82.23
강원도,횡성,2019,25.5,42.417,0.002,0.025,0.012,0.517,82.4
강원도,횡성,2020,19.917,32.667,0.002,0.023,0.011,0.417,82.58
경기도,가평,2017,20.917,45.167,0.004,0.028,0.013,0.433,81.24
경기도,가평,2018,21.0,32.583,0.003,0.028,0.011,0.417,81.59
경기도,가평,2019,19.167,32.25,0.003,0.029,0.011,0.467,82.06
경기도,가평,2020,17.5,31.25,0.003,0.026,0.011,0.433,82.08
경기도,고양,2017,27.9,54.75,0.005,0.028,0.023,0.45,84.49
경기도,고양,2018,25.0,43.583,0.004,0.025,0.021,0.442,84.83
경기도,고양,2019,24.917,44.5,0.004,0.029,0.02,0.458,85.18
경기도,고양,2020,20.083,39.75,0.003,0.03,0.018,0.45,85.4
경기도,과천,2016,23.0,47.5,0.004,0.023,0.03,0.592,86.68
경기도,과천,2017,24.167,45.75,0.004,0.025,0.028,0.583,86.24
경기도,과천,2018,23.333,41.083,0.003,0.021,0.027,0.558,86.38
경기도,과천,2019,22.167,44.417,0.003,0.024,0.028,0.608,86.06
경기도,과천,2020,18.833,39.5,0.003,0.026,0.024,0.517,86.13
경기도,광명,2016,26.0,52.0,0.004,0.025,0.029,0.55,83.45
경기도,광명,2017,27.167,50.167,0.004,0.028,0.032,0.525,83.79
경기도,광명,2018,25.333,45.417,0.004,0.023,0.032,0.517,84.22
경기도,광명,2019,25.75,48.0,0.004,0.027,0.032,0.542,84.57
경기도,광명,2020,21.917,41.167,0.003,0.028,0.023,0.5,84.85
경기도,광주,2017,29.667,54.818,0.004,0.025,0.032,0.608,83.08
경기도,광주,2018,27.583,44.833,0.004,0.019,0.028,0.542,83.52
경기도,광주,2019,26.333,47.917,0.004,0.023,0.027,0.542,84.0
경기도,광주,2020,22.583,40.0,0.002,0.024,0.021,0.442,84.22
경기도,구리,2015,30.667,52.182,0.004,0.026,0.028,0.5,82.63
