Column1,Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
0,0,강원도,강릉,2010,0,48,0.007,0.024,0.02,0.6,79.83
1,1,강원도,강릉,2010,0,51,0.006,0.022,0.022,0.6,79.83
2,2,강원도,강릉,2010,0,62,0.006,0.028,0.02,0.5,79.83
3,3,강원도,강릉,2010,0,51,0.006,0.036,0.02,0.5,79.83
4,4,강원도,강릉,2010,0,51,0.004,0.044,0.017,0.4,79.83
5,5,강원도,강릉,2010,0,45,0.003,0.035,0.022,0.4,79.83
6,6,강원도,강릉,2010,0,33,0.003,0.023,0.015,0.3,79.83
7,7,강원도,강릉,2010,0,35,0.004,0.019,0.016,0.4,79.83
8,8,강원도,강릉,2010,0,26,0.002,0.02,0.014,0.3,79.83
9,9,강원도,강릉,2010,0,31,0.004,0.022,0.016,0.4,79.83
10,10,강원도,강릉,2010,0,57,0.006,0.026,0.018,0.5,79.83
11,11,강원도,강릉,2010,0,52,0.006,0.023,0.018,0.5,79.83
12,12,강원도,강릉,2011,0,39,0.008,0.024,0.019,0.6,80.56
13,13,강원도,강릉,2011,0,62,0.011,0.025,0.025,0.7,80.56
14,14,강원도,강릉,2011,0,67,0.009,0.035,0.019,0.5,80.56
15,15,강원도,강릉,2011,0,62,0.006,0.043,0.017,0.5,80.56
16,16,강원도,강릉,2011,0,62,0.004,0.035,0.017,0.4,80.56
17,17,강원도,강릉,2011,0,36,0.004,0.039,0.014,0.3,80.56
18,18,강원도,강릉,2011,0,27,0.002,0.021,0.014,0.3,80.56
19,19,강원도,강릉,2011,0,22,0.002,0.022,0.012,0.3,80.56
20,20,강원도,강릉,2011,0,27,0.003,0.027,0.012,0.3,80.56
21,21,강원도,강릉,2011,0,38,0.004,0.026,0.016,0.4,80.56
22,22,강원도,강릉,2011,0,45,0.006,0.021,0.017,0.5,80.56
23,23,강원도,강릉,2011,0,37,0.008,0.021,0.016,0.5,80.56
24,24,강원도,강릉,2012,0,53,0.011,0.017,0.017,0.7,80.87
25,25,강원도,강릉,2012,0,46,0.008,0.019,0.016,0.5,80.87
26,26,강원도,강릉,2012,0,50,0.007,0.029,0.016,0.6,80.87
27,27,강원도,강릉,2012,0,57,0.004,0.034,0.014,0.4,80.87
28,28,강원도,강릉,2012,0,47,0.004,0.037,0.015,0.4,80.87
29,29,강원도,강릉,2012,0,38,0.003,0.03,0.013,0.3,80.87
30,30,강원도,강릉,2012,0,27,0.002,0.026,0.011,0.3,80.87
31,31,강원도,강릉,2012,0,21,0.002,0.02,0.011,0.4,80.87
32,32,강원도,강릉,2012,0,24,0.003,0.025,0.011,0.4,80.87
33,33,강원도,강릉,2012,0,34,0.004,0.028,0.013,0.5,80.87
34,34,강원도,강릉,2012,0,41,0.006,0.023,0.013,0.6,80.87
35,35,강원도,강릉,2012,0,36,0.008,0.019,0.015,0.6,80.87
36,36,강원도,강릉,2013,0,55,0.01,0.022,0.019,0.7,81.2
37,37,강원도,강릉,2013,0,47,0.007,0.029,0.016,0.7,81.2
38,38,강원도,강릉,2013,0,55,0.006,0.036,0.015,0.6,81.2
39,39,강원도,강릉,2013,0,45,0.005,0.039,0.012,0.6,81.2
40,40,강원도,강릉,2013,0,44,0.003,0.037,0.012,0.3,81.2
41,41,강원도,강릉,2013,0,30,0.004,0.025,0.012,0.2,81.2
42,42,강원도,강릉,2013,0,29,0.002,0.026,0.01,0.3,81.2
43,43,강원도,강릉,2013,0,33,0.002,0.031,0.009,0.4,81.2
44,44,강원도,강릉,2013,0,31,0.003,0.023,0.01,0.5,81.2
45,45,강원도,강릉,2013,0,30,0.004,0.024,0.012,0.8,81.2
46,46,강원도,강릉,2013,0,35,0.006,0.023,0.012,1.2,81.2
47,47,강원도,강릉,2013,0,45,0.008,0.018,0.015,0.7,81.2
48,48,강원도,강릉,2014,0,51,0.008,0.02,0.013,0.7,81.65
49,49,강원도,강릉,2014,0,56,0.004,0.012,0.018,0.8,81.65
50,50,강원도,강릉,2014,0,60,0.004,0.027,0.013,0.5,81.65
51,51,강원도,강릉,2014,0,56,0.005,0.038,0.012,0.5,81.65
52,52,강원도,강릉,2014,0,56,0.003,0.043,0.014,0.3,81.65
53,53,강원도,강릉,2014,0,41,0.002,0.032,0.012,0.2,81.65
54,54,강원도,강릉,2014,0,37,0.002,0.036,0.013,0.3,81.65
55,55,강원도,강릉,2014,0,32,0.002,0.029,0.012,0.2,81.65
56,56,강원도,강릉,2014,0,32,0.002,0.027,0.01,0.7,81.65
57,57,강원도,강릉,2014,0,39,0.003,0.027,0.014,0.7,81.65
58,58,강원도,강릉,2014,0,39,0.005,0.022,0.016,0.8,81.65
59,59,강원도,강릉,2014,0,50,0.007,0.024,0.013,0.6,81.65
60,60,강원도,강릉,2015,20,48,0.007,0.022,0.014,0.8,82.11
61,61,강원도,강릉,2015,24,74,0.007,0.025,0.014,0.6,82.11
62,62,강원도,강릉,2015,25,72,0.006,0.032,0.015,0.6,82.11
63,63,강원도,강릉,2015,20,55,0.004,0.037,0.012,0.4,82.11
64,64,강원도,강릉,2015,21,54,0.003,0.046,0.012,0.4,82.11
65,65,강원도,강릉,2015,21,43,0.003,0.039,0.011,0.3,82.11
66,66,강원도,강릉,2015,17,34,0.002,0.027,0.01,0.3,82.11
67,67,강원도,강릉,2015,22,37,0.002,0.033,0.009,0.3,82.11
68,68,강원도,강릉,2015,12,34,0.002,0.026,0.01,0.4,82.11
69,69,강원도,강릉,2015,14,39,0.004,0.022,0.014,0.5,82.11
70,70,강원도,강릉,2015,25,46,0.005,0.021,0.016,0.6,82.11
71,71,강원도,강릉,2015,10.45238095,47,0.003,0.031,0.013,0.4,82.11
72,72,강원도,강릉,2016,28,43,0.004,0.026,0.015,0.6,82.56
73,73,강원도,강릉,2016,28,49,0.005,0.029,0.015,0.8,82.56
74,74,강원도,강릉,2016,35,63,0.005,0.034,0.018,0.5,82.56
75,75,강원도,강릉,2016,30,69,0.003,0.042,0.015,0.4,82.56
76,76,강원도,강릉,2016,32,58,0.002,0.048,0.015,0.4,82.56
77,77,강원도,강릉,2016,30,44,0.002,0.039,0.014,0.3,82.56
78,78,강원도,강릉,2016,23,33,0.002,0.026,0.011,0.3,82.56
79,79,강원도,강릉,2016,17,33,0.002,0.026,0.007,0.3,82.56
80,80,강원도,강릉,2016,25,38,0.002,0.024,0.009,0.4,82.56
81,81,강원도,강릉,2016,29,53,0.004,0.023,0.017,0.7,82.56
82,82,강원도,강릉,2016,26,40,0.005,0.022,0.015,0.6,82.56
83,83,강원도,강릉,2016,17.78571429,44,0.003,0.023,0.014,0.5,82.56
84,84,강원도,강릉,2017,30,48,0.005,0.011,0.011,0.6,82.94
85,85,강원도,강릉,2017,29,52,0.004,0.031,0.013,0.5,82.94
86,86,강원도,강릉,2017,37,62,0.004,0.015,0.015,0.4,82.94
87,87,강원도,강릉,2017,27,55,0.003,0.048,0.008,0.3,82.94
88,88,강원도,강릉,2017,29,61,0.003,0.052,0.014,0.3,82.94
89,89,강원도,강릉,2017,24,38,0.001,0.042,0.012,0.3,82.94
90,90,강원도,강릉,2017,21,33,0.001,0.033,0.011,0.2,82.94
91,91,강원도,강릉,2017,15,29,0.002,0.022,0.013,0.3,82.94
92,92,강원도,강릉,2017,21,41,0.003,0.034,0.012,0.5,82.94
93,93,강원도,강릉,2017,21,37,0.003,0.029,0.012,0.6,82.94
94,94,강원도,강릉,2017,25,29,0.004,0.025,0.012,0.6,82.94
95,95,강원도,강릉,2017,16.54761905,39,0.003,0.026,0.011,0.5,82.94
96,96,강원도,강릉,2018,27,33,0.005,0.027,0.02,0.5,83.16
97,97,강원도,강릉,2018,23,37,0.005,0.03,0.011,0.5,83.16
98,98,강원도,강릉,2018,25,37,0.005,0.038,0.015,0.4,83.16
99,99,강원도,강릉,2018,24,49,0.002,0.044,0.015,0.3,83.16
100,100,강원도,강릉,2018,21,47,0.002,0.046,0.013,0.3,83.16
101,101,강원도,강릉,2018,18,37,0.002,0.048,0.013,0.3,83.16
102,102,강원도,강릉,2018,17,32,0.002,0.033,0.011,0.2,83.16
103,103,강원도,강릉,2018,13,31,0.002,0.025,0.01,0.3,83.16
104,104,강원도,강릉,2018,17,24,0.003,0.027,0.012,0.3,83.16
105,105,강원도,강릉,2018,19,46,0.003,0.028,0.018,0.3,83.16
106,106,강원도,강릉,2018,16,30,0.004,0.024,0.017,0.3,83.16
107,107,강원도,강릉,2018,14.42857143,17,0.003,0.033,0.006,0.2,83.16
108,108,강원도,강릉,2019,23,41,0.005,0.029,0.017,0.3,83.44
109,109,강원도,강릉,2019,25,42,0.004,0.034,0.016,0.4,83.44
110,110,강원도,강릉,2019,32,51,0.003,0.046,0.014,0.3,83.44
111,111,강원도,강릉,2019,16,36,0.002,0.042,0.013,0.3,83.44
112,112,강원도,강릉,2019,21,47,0.002,0.059,0.012,0.3,83.44
113,113,강원도,강릉,2019,16,32,0.002,0.045,0.01,0.3,83.44
114,114,강원도,강릉,2019,14,29,0.001,0.038,0.008,0.3,83.44
115,115,강원도,강릉,2019,12,28,0.001,0.034,0.009,0.4,83.44
116,116,강원도,강릉,2019,10,25,0.001,0.028,0.009,0.2,83.44
117,117,강원도,강릉,2019,18.47619048,36.19047619,0.002761905,0.032428571,0.013214286,0.407142857,83.44
118,118,강원도,강릉,2019,17,30,0.002,0.028,0.015,0.4,83.44
119,119,강원도,강릉,2019,18.47619048,29,0.001,0.026,0.009,0.2,83.44
120,120,강원도,강릉,2020,14,25,0.002,0.028,0.014,0.5,83.82
121,121,강원도,강릉,2020,19,32,0.003,0.033,0.014,0.6,83.82
122,122,강원도,강릉,2020,16,36,0.002,0.039,0.011,0.4,83.82
123,123,강원도,강릉,2020,15,38,0.002,0.047,0.011,0.3,83.82
124,124,강원도,강릉,2020,12,32,0.003,0.042,0.011,0.5,83.82
125,125,강원도,강릉,2020,18,42,0.003,0.047,0.01,0.4,83.82
126,126,강원도,강릉,2020,8,14,0.002,0.029,0.01,0.5,83.82
127,127,강원도,강릉,2020,11,17,0.002,0.026,0.011,0.5,83.82
128,128,강원도,강릉,2020,11,27,0.003,0.035,0.009,0.5,83.82
129,129,강원도,강릉,2020,19,32,0.003,0.033,0.013,0.4,83.82
130,130,강원도,강릉,2020,14.72619048,30,0.003,0.033,0.014,0.4,83.82
131,131,강원도,강릉,2020,14.72619048,31,0.002,0.037,0.01,0.5,83.82
132,132,강원도,동해,2010,0,47,0.009,0.026,0.02,0.7,79.21
133,133,강원도,동해,2010,0,50,0.008,0.028,0.024,0.6,79.21
134,134,강원도,동해,2010,0,74,0.005,0.033,0.021,0.7,79.21
135,135,강원도,동해,2010,0,56,0.005,0.038,0.024,0.8,79.21
136,136,강원도,동해,2010,0,56,0.004,0.043,0.021,0.6,79.21
137,137,강원도,동해,2010,0,38,0.003,0.03,0.025,0.7,79.21
138,138,강원도,동해,2010,0,30,0.003,0.023,0.017,0.6,79.21
139,139,강원도,동해,2010,0,31,0.003,0.018,0.02,0.6,79.21
140,140,강원도,동해,2010,0,21,0.003,0.019,0.02,0.6,79.21
141,141,강원도,동해,2010,0,25,0.004,0.022,0.023,0.7,79.21
142,142,강원도,동해,2010,0,51,0.007,0.027,0.024,0.8,79.21
143,143,강원도,동해,2010,0,43,0.007,0.025,0.021,0.7,79.21
144,144,강원도,동해,2011,0,33,0.007,0.028,0.018,0.6,79.58
145,145,강원도,동해,2011,0,51,0.006,0.02,0.023,0.9,79.58
146,146,강원도,동해,2011,0,58,0.006,0.036,0.021,0.7,79.58
147,147,강원도,동해,2011,0,59,0.004,0.043,0.02,0.7,79.58
148,148,강원도,동해,2011,0,69,0.003,0.035,0.02,0.6,79.58
149,149,강원도,동해,2011,0,35,0.002,0.036,0.022,0.6,79.58
150,150,강원도,동해,2011,0,24,0.002,0.02,0.018,0.6,79.58
151,151,강원도,동해,2011,0,17,0.001,0.021,0.017,0.6,79.58
152,152,강원도,동해,2011,0,19,0.002,0.026,0.019,0.6,79.58
153,153,강원도,동해,2011,0,35,0.004,0.024,0.026,0.8,79.58
154,154,강원도,동해,2011,0,38,0.006,0.023,0.023,0.8,79.58
155,155,강원도,동해,2011,0,30,0.007,0.023,0.019,0.7,79.58
156,156,강원도,동해,2012,0,42,0.009,0.025,0.019,0.8,79.89
