City,year,District,AVG
세종시,2015,세종특별자치시,82.34
세종시,2016,세종특별자치시,82.83
세종시,2017,세종특별자치시,83.27
세종시,2018,세종특별자치시,83.44
세종시,2019,세종특별자치시,83.86
수원시,2015,경기도,82.73
수원시,2016,경기도,83.19
수원시,2017,경기도,83.51
수원시,2018,경기도,83.92
수원시,2019,경기도,84.14
수원시,2015,경기도,82.23
수원시,2016,경기도,82.62
수원시,2017,경기도,83.06
수원시,2018,경기도,83.61
수원시,2019,경기도,83.86
수원시,2015,경기도,81.82
수원시,2016,경기도,82.19
수원시,2017,경기도,82.53
수원시,2018,경기도,82.75
수원시,2019,경기도,83.03
수원시,2015,경기도,83.79
수원시,2016,경기도,84.12
수원시,2017,경기도,84.48
수원시,2018,경기도,84.77
수원시,2019,경기도,85.14
수원시,2015,경기도,81.99
성남시,2016,경기도,82.17
성남시,2017,경기도,82.34
성남시,2018,경기도,82.76
성남시,2019,경기도,83.22
성남시,2015,경기도,81.51
성남시,2016,경기도,81.83
성남시,2017,경기도,82.02
성남시,2018,경기도,82.31
성남시,2019,경기도,82.77
성남시,2015,경기도,85.89
성남시,2016,경기도,86.05
성남시,2017,경기도,86.45
성남시,2018,경기도,86.61
성남시,2019,경기도,86.87
의정부시,2015,경기도,82.34
의정부시,2016,경기도,82.73
의정부시,2017,경기도,82.99
의정부시,2018,경기도,83.18
의정부시,2019,경기도,83.48
안양시,2015,경기도,82.85
안양시,2016,경기도,83.06
안양시,2017,경기도,83.33
안양시,2018,경기도,83.9
안양시,2019,경기도,84.46
안양시,2015,경기도,84.78
안양시,2016,경기도,84.89
안양시,2017,경기도,85.02
안양시,2018,경기도,85.18
안양시,2019,경기도,85.26
부천시,2017,경기도,84.15
부천시,2018,경기도,84.22
부천시,2019,경기도,84.48
부천시,2016,경기도,83.3
부천시,2017,경기도,83.36
부천시,2018,경기도,83.38
부천시,2019,경기도,83.61
부천시,2016,경기도,83.49
부천시,2017,경기도,83.74
부천시,2018,경기도,83.99
부천시,2019,경기도,84.06
부천시,2015,경기도,81.83
부천시,2016,경기도,82.19
부천시,2017,경기도,82.4
부천시,2018,경기도,82.47
부천시,2019,경기도,82.85
광명시,2015,경기도,82.99
광명시,2016,경기도,83.45
광명시,2017,경기도,83.79
광명시,2018,경기도,84.22
광명시,2019,경기도,84.57
평택시,2015,경기도,82.01
평택시,2016,경기도,82.28
평택시,2017,경기도,82.7
평택시,2018,경기도,82.97
평택시,2019,경기도,83.23
동두천시,2015,경기도,80.87
동두천시,2016,경기도,81.1
동두천시,2017,경기도,81.27
동두천시,2018,경기도,81.41
동두천시,2019,경기도,81.54
안산시상록구,2015,경기도,82.52
안산시상록구,2016,경기도,82.77
안산시상록구,2017,경기도,82.97
안산시상록구,2018,경기도,83.16
안산시상록구,2019,경기도,83.39
안산시단원구,2015,경기도,81.66
안산시단원구,2016,경기도,82.17
안산시단원구,2017,경기도,82.35
안산시단원구,2018,경기도,82.61
안산시단원구,2019,경기도,82.9
고양시덕양구,2015,경기도,82.85
고양시덕양구,2016,경기도,83.41
고양시덕양구,2017,경기도,83.76
고양시덕양구,2018,경기도,84.15
고양시덕양구,2019,경기도,84.53
고양시일산동구,2015,경기도,83.95
고양시일산동구,2016,경기도,84.26
고양시일산동구,2017,경기도,84.65
고양시일산동구,2018,경기도,85.0
고양시일산동구,2019,경기도,85.49
고양시일산서구,2015,경기도,84.21
고양시일산서구,2016,경기도,84.64
고양시일산서구,2017,경기도,85.05
고양시일산서구,2018,경기도,85.35
고양시일산서구,2019,경기도,85.53
과천시,2015,경기도,87.01
과천시,2016,경기도,86.68
과천시,2017,경기도,86.24
과천시,2018,경기도,86.38
과천시,2019,경기도,86.06
구리시,2015,경기도,82.63
구리시,2016,경기도,82.89
구리시,2017,경기도,83.63
구리시,2018,경기도,84.02
구리시,2019,경기도,84.4
남양주시,2015,경기도,82.35
남양주시,2016,경기도,82.93
남양주시,2017,경기도,83.31
남양주시,2018,경기도,83.69
남양주시,2019,경기도,83.97
오산시,2015,경기도,82.03
오산시,2016,경기도,82.39
오산시,2017,경기도,82.75
오산시,2018,경기도,82.94
오산시,2019,경기도,83.25
시흥시,2015,경기도,81.71
시흥시,2016,경기도,82.17
시흥시,2017,경기도,82.46
시흥시,2018,경기도,82.78
시흥시,2019,경기도,83.35
군포시,2015,경기도,84.25
군포시,2016,경기도,84.66
군포시,2017,경기도,85.15
군포시,2018,경기도,85.36
군포시,2019,경기도,85.57
의왕시,2015,경기도,83.98
의왕시,2016,경기도,84.26
의왕시,2017,경기도,84.56
의왕시,2018,경기도,84.93
의왕시,2019,경기도,85.05
하남시,2015,경기도,82.44
하남시,2016,경기도,83.01
하남시,2017,경기도,83.6
하남시,2018,경기도,84.19
하남시,2019,경기도,84.68
용인시처인구,2015,경기도,81.85
용인시처인구,2016,경기도,82.29
용인시처인구,2017,경기도,82.56
용인시처인구,2018,경기도,82.98
용인시처인구,2019,경기도,83.26
용인시기흥구,2015,경기도,84.51
용인시기흥구,2016,경기도,85.02
용인시기흥구,2017,경기도,85.59
용인시기흥구,2018,경기도,85.76
