City,year,District,AVG
중구,2015,부산광역시,81.63
중구,2015,부산광역시,77.79
중구,2015,부산광역시,84.81
중구,2016,부산광역시,81.56
중구,2016,부산광역시,77.68
중구,2016,부산광역시,84.99
중구,2017,부산광역시,81.85
중구,2017,부산광역시,77.77
중구,2017,부산광역시,85.68
중구,2018,부산광역시,82.17
중구,2018,부산광역시,78.1
중구,2018,부산광역시,85.86
중구,2019,부산광역시,82.19
중구,2019,부산광역시,78.29
중구,2019,부산광역시,85.69
서구,2015,부산광역시,80.92
서구,2015,부산광역시,77.22
서구,2015,부산광역시,84.1
서구,2016,부산광역시,81.02
서구,2016,부산광역시,77.45
서구,2016,부산광역시,84.08
서구,2017,부산광역시,81.43
서구,2017,부산광역시,78.07
서구,2017,부산광역시,84.31
서구,2018,부산광역시,81.77
서구,2018,부산광역시,78.49
서구,2018,부산광역시,84.58
서구,2019,부산광역시,81.99
서구,2019,부산광역시,78.61
서구,2019,부산광역시,84.93
동구,2015,부산광역시,79.94
동구,2015,부산광역시,75.96
동구,2015,부산광역시,83.71
동구,2016,부산광역시,80.42
동구,2016,부산광역시,76.55
동구,2016,부산광역시,84.05
동구,2017,부산광역시,80.71
동구,2017,부산광역시,76.93
동구,2017,부산광역시,84.31
동구,2018,부산광역시,81.08
동구,2018,부산광역시,77.45
동구,2018,부산광역시,84.45
동구,2019,부산광역시,81.49
동구,2019,부산광역시,77.92
동구,2019,부산광역시,84.75
영도구,2015,부산광역시,80.13
영도구,2015,부산광역시,76.22
영도구,2015,부산광역시,83.61
영도구,2016,부산광역시,80.59
영도구,2016,부산광역시,76.83
영도구,2016,부산광역시,83.93
영도구,2017,부산광역시,80.85
영도구,2017,부산광역시,77.23
영도구,2017,부산광역시,84.11
영도구,2018,부산광역시,81.22
영도구,2018,부산광역시,77.63
영도구,2018,부산광역시,84.51
영도구,2019,부산광역시,81.65
영도구,2019,부산광역시,78.0
영도구,2019,부산광역시,85.0
부산진구,2015,부산광역시,81.36
부산진구,2015,부산광역시,77.91
부산진구,2015,부산광역시,84.37
부산진구,2016,부산광역시,81.78
부산진구,2016,부산광역시,78.34
부산진구,2016,부산광역시,84.82
부산진구,2017,부산광역시,82.08
부산진구,2017,부산광역시,78.7
부산진구,2017,부산광역시,85.08
부산진구,2018,부산광역시,82.52
부산진구,2018,부산광역시,79.08
부산진구,2018,부산광역시,85.58
부산진구,2019,부산광역시,82.81
부산진구,2019,부산광역시,79.47
부산진구,2019,부산광역시,85.76
동래구,2015,부산광역시,82.87
동래구,2015,부산광역시,79.52
동래구,2015,부산광역시,85.6
동래구,2016,부산광역시,83.11
동래구,2016,부산광역시,79.85
동래구,2016,부산광역시,85.81
동래구,2017,부산광역시,83.57
동래구,2017,부산광역시,80.21
동래구,2017,부산광역시,86.43
동래구,2018,부산광역시,83.63
동래구,2018,부산광역시,80.36
동래구,2018,부산광역시,86.46
동래구,2019,부산광역시,83.89
동래구,2019,부산광역시,80.64
동래구,2019,부산광역시,86.81
남구,2015,부산광역시,81.89
남구,2015,부산광역시,78.57
남구,2015,부산광역시,84.67
남구,2016,부산광역시,82.25
남구,2016,부산광역시,78.86
남구,2016,부산광역시,85.13
남구,2017,부산광역시,82.77
남구,2017,부산광역시,79.33
남구,2017,부산광역시,85.76
남구,2018,부산광역시,83.26
남구,2018,부산광역시,79.89
남구,2018,부산광역시,86.2
남구,2019,부산광역시,83.51
남구,2019,부산광역시,80.25
남구,2019,부산광역시,86.37
북구,2015,부산광역시,81.36
북구,2015,부산광역시,78.04
북구,2015,부산광역시,84.03
북구,2016,부산광역시,81.89
북구,2016,부산광역시,78.53
북구,2016,부산광역시,84.56
북구,2017,부산광역시,82.41
북구,2017,부산광역시,79.21
북구,2017,부산광역시,84.97
북구,2018,부산광역시,82.88
북구,2018,부산광역시,79.62
북구,2018,부산광역시,85.51
북구,2019,부산광역시,83.14
북구,2019,부산광역시,79.93
북구,2019,부산광역시,85.76
해운대구,2015,부산광역시,82.51
해운대구,2015,부산광역시,79.49
해운대구,2015,부산광역시,84.84
해운대구,2016,부산광역시,82.78
해운대구,2016,부산광역시,79.7
해운대구,2016,부산광역시,85.22
해운대구,2017,부산광역시,83.11
해운대구,2017,부산광역시,80.09
해운대구,2017,부산광역시,85.52
해운대구,2018,부산광역시,83.36
해운대구,2018,부산광역시,80.38
해운대구,2018,부산광역시,85.81
해운대구,2019,부산광역시,83.62
해운대구,2019,부산광역시,80.6
해운대구,2019,부산광역시,86.12
사하구,2015,부산광역시,81.38
사하구,2015,부산광역시,77.9
사하구,2015,부산광역시,84.41
사하구,2016,부산광역시,81.72
사하구,2016,부산광역시,78.32
사하구,2016,부산광역시,84.71
사하구,2017,부산광역시,82.02
사하구,2017,부산광역시,78.63
사하구,2017,부산광역시,85.04
사하구,2018,부산광역시,82.27
사하구,2018,부산광역시,78.88
사하구,2018,부산광역시,85.31
사하구,2019,부산광역시,82.58
사하구,2019,부산광역시,79.22
사하구,2019,부산광역시,85.66
금정구,2015,부산광역시,82.23
금정구,2015,부산광역시,79.06
금정구,2015,부산광역시,84.89
금정구,2016,부산광역시,82.61
금정구,2016,부산광역시,79.36
금정구,2016,부산광역시,85.39
금정구,2017,부산광역시,82.8
금정구,2017,부산광역시,79.59
금정구,2017,부산광역시,85.58
금정구,2018,부산광역시,82.96
금정구,2018,부산광역시,79.7
금정구,2018,부산광역시,85.87
금정구,2019,부산광역시,83.23
금정구,2019,부산광역시,80.09
금정구,2019,부산광역시,86.01
강서구,2015,부산광역시,81.16
강서구,2015,부산광역시,77.75
강서구,2015,부산광역시,84.28
강서구,2016,부산광역시,81.71
강서구,2016,부산광역시,78.57
강서구,2016,부산광역시,84.5
강서구,2017,부산광역시,82.23
강서구,2017,부산광역시,79.58
강서구,2017,부산광역시,84.6
강서구,2018,부산광역시,82.67
강서구,2018,부산광역시,80.17
강서구,2018,부산광역시,84.89
강서구,2019,부산광역시,83.2
강서구,2019,부산광역시,80.78
강서구,2019,부산광역시,85.28
연제구,2015,부산광역시,82.17
연제구,2015,부산광역시,79.23
연제구,2015,부산광역시,84.64
연제구,2016,부산광역시,82.59
연제구,2016,부산광역시,79.46
연제구,2016,부산광역시,85.25
연제구,2017,부산광역시,82.91
연제구,2017,부산광역시,79.78
연제구,2017,부산광역시,85.58
연제구,2018,부산광역시,83.32
연제구,2018,부산광역시,80.18
연제구,2018,부산광역시,86.01
연제구,2019,부산광역시,83.82
연제구,2019,부산광역시,80.61
연제구,2019,부산광역시,86.52
수영구,2015,부산광역시,82.66
수영구,2015,부산광역시,79.52
수영구,2015,부산광역시,85.2
수영구,2016,부산광역시,83.26
수영구,2016,부산광역시,80.1
수영구,2016,부산광역시,85.78
수영구,2017,부산광역시,83.63
수영구,2017,부산광역시,80.42
수영구,2017,부산광역시,86.18
수영구,2018,부산광역시,83.8
수영구,2018,부산광역시,80.72
수영구,2018,부산광역시,86.25
수영구,2019,부산광역시,84.18
수영구,2019,부산광역시,80.97
수영구,2019,부산광역시,86.91
사상구,2015,부산광역시,80.1
사상구,2015,부산광역시,76.88
사상구,2015,부산광역시,82.98
사상구,2016,부산광역시,80.41
사상구,2016,부산광역시,77.04
사상구,2016,부산광역시,83.51
사상구,2017,부산광역시,80.8
사상구,2017,부산광역시,77.4
사상구,2017,부산광역시,83.94
사상구,2018,부산광역시,81.29
사상구,2018,부산광역시,77.87
사상구,2018,부산광역시,84.42
사상구,2019,부산광역시,81.69
사상구,2019,부산광역시,78.21
사상구,2019,부산광역시,84.87
기장군,2015,부산광역시,81.33
기장군,2015,부산광역시,77.78
기장군,2015,부산광역시,84.47
기장군,2016,부산광역시,81.9
기장군,2016,부산광역시,78.35
기장군,2016,부산광역시,84.98
기장군,2017,부산광역시,82.2
기장군,2017,부산광역시,78.49
기장군,2017,부산광역시,85.46
기장군,2018,부산광역시,82.5
기장군,2018,부산광역시,78.69
기장군,2018,부산광역시,85.94
기장군,2019,부산광역시,82.93
기장군,2019,부산광역시,79.23
기장군,2019,부산광역시,86.27
중구,2015,대구광역시,82.49
중구,2015,대구광역시,78.58
중구,2015,대구광역시,85.76
중구,2016,대구광역시,82.89
중구,2016,대구광역시,79.1
중구,2016,대구광역시,86.01
중구,2017,대구광역시,83.08
중구,2017,대구광역시,79.49
중구,2017,대구광역시,86.06
중구,2018,대구광역시,83.24
중구,2018,대구광역시,79.84
중구,2018,대구광역시,86.07
중구,2019,대구광역시,83.51
중구,2019,대구광역시,80.02
중구,2019,대구광역시,86.52
동구,2015,대구광역시,81.92
동구,2015,대구광역시,78.4
동구,2015,대구광역시,84.94
동구,2016,대구광역시,82.22
동구,2016,대구광역시,78.74
동구,2016,대구광역시,85.23
동구,2017,대구광역시,82.58
동구,2017,대구광역시,79.13
동구,2017,대구광역시,85.6
동구,2018,대구광역시,82.89
동구,2018,대구광역시,79.38
동구,2018,대구광역시,86.05
동구,2019,대구광역시,83.17
동구,2019,대구광역시,79.76
동구,2019,대구광역시,86.23
서구,2015,대구광역시,80.65
서구,2015,대구광역시,77.06
서구,2015,대구광역시,83.79
서구,2016,대구광역시,81.06
서구,2016,대구광역시,77.54
서구,2016,대구광역시,84.11
서구,2017,대구광역시,81.46
서구,2017,대구광역시,77.88
서구,2017,대구광역시,84.61
서구,2018,대구광역시,81.61
서구,2018,대구광역시,78.07
서구,2018,대구광역시,84.75
서구,2019,대구광역시,81.98
서구,2019,대구광역시,78.46
서구,2019,대구광역시,85.14
남구,2015,대구광역시,82.23
남구,2015,대구광역시,78.68
남구,2015,대구광역시,85.15
남구,2016,대구광역시,82.45
남구,2016,대구광역시,79.13
남구,2016,대구광역시,85.14
남구,2017,대구광역시,82.77
남구,2017,대구광역시,79.5
남구,2017,대구광역시,85.46
남구,2018,대구광역시,82.99
남구,2018,대구광역시,79.53
남구,2018,대구광역시,85.96
남구,2019,대구광역시,83.43
남구,2019,대구광역시,80.14
남구,2019,대구광역시,86.22
북구,2015,대구광역시,82.32
북구,2015,대구광역시,78.97
북구,2015,대구광역시,85.09
북구,2016,대구광역시,82.57
북구,2016,대구광역시,79.2
북구,2016,대구광역시,85.42
북구,2017,대구광역시,82.82
북구,2017,대구광역시,79.51
북구,2017,대구광역시,85.63
북구,2018,대구광역시,83.05
북구,2018,대구광역시,79.83
북구,2018,대구광역시,85.76
북구,2019,대구광역시,83.27
북구,2019,대구광역시,80.03
북구,2019,대구광역시,86.05
수성구,2015,대구광역시,83.68
수성구,2015,대구광역시,80.76
수성구,2015,대구광역시,85.9
수성구,2016,대구광역시,84.05
수성구,2016,대구광역시,81.22
수성구,2016,대구광역시,86.24
수성구,2017,대구광역시,84.46
수성구,2017,대구광역시,81.66
수성구,2017,대구광역시,86.61
수성구,2018,대구광역시,84.91
수성구,2018,대구광역시,82.15
수성구,2018,대구광역시,87.06
수성구,2019,대구광역시,85.01
수성구,2019,대구광역시,82.18
