City,pm25,pm10,o3,no2,so2,co,Cluster,District_강원도,District_경기도,District_경상남도,District_경상북도,District_광주광역시,District_대구광역시,District_대전광역시,District_부산광역시,District_서울특별시,District_세종특별자치시,District_울산광역시,District_인천광역시,District_전라남도,District_전라북도,District_제주특별자치도,District_충청남도,District_충청북도
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강릉,11.194,41.244,0.03,0.014,0.004,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거제,11.538,37.596,0.032,0.014,0.004,0.415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경산,8.887,39.772,0.026,0.015,0.004,0.431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경산,8.887,39.772,0.026,0.015,0.004,0.431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경산,8.887,39.772,0.026,0.015,0.004,0.431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경산,8.887,39.772,0.026,0.015,0.004,0.431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경주,6.906,39.723,0.027,0.017,0.005,0.395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경주,6.906,39.723,0.027,0.017,0.005,0.395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
경주,6.906,39.723,0.027,0.017,0.005,0.395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
계룡,7.611,28.088,0.02,0.012,0.003,0.359,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
계룡,7.611,28.088,0.02,0.012,0.003,0.359,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
계룡,7.611,28.088,0.02,0.012,0.003,0.359,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
고양,10.576,52.444,0.025,0.024,0.005,0.467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고양,10.576,52.444,0.025,0.024,0.005,0.467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고양,10.576,52.444,0.025,0.024,0.005,0.467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고양,10.576,52.444,0.025,0.024,0.005,0.467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공주,8.884,28.614,0.019,0.011,0.003,0.329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
공주,8.884,28.614,0.019,0.011,0.003,0.329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
공주,8.884,28.614,0.019,0.011,0.003,0.329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
공주,8.884,28.614,0.019,0.011,0.003,0.329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
과천,10.352,47.098,0.022,0.03,0.004,0.611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과천,10.352,47.098,0.022,0.03,0.004,0.611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과천,10.352,47.098,0.022,0.03,0.004,0.611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과천,10.352,47.098,0.022,0.03,0.004,0.611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과천,10.352,47.098,0.022,0.03,0.004,0.611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명,11.223,49.538,0.024,0.031,0.004,0.576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명,11.223,49.538,0.024,0.031,0.004,0.576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명,11.223,49.538,0.024,0.031,0.004,0.576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명,11.223,49.538,0.024,0.031,0.004,0.576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광명,11.223,49.538,0.024,0.031,0.004,0.576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광양,11.118,38.523,0.029,0.014,0.006,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
광주,11.537,50.628,0.022,0.03,0.005,0.636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주,11.537,50.628,0.022,0.03,0.005,0.636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주,11.537,50.628,0.022,0.03,0.005,0.636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주,11.537,50.628,0.022,0.03,0.005,0.636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,12.688,40.364,0.028,0.019,0.003,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,12.688,40.364,0.028,0.019,0.003,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
