지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2004,1년,전체,전국,전체,78.98,75.52,78.45,79.28,80.12,82.03,6.5
2004,1년,남성,전국,전체,75.37,71.09,74.77,75.71,76.98,79.18,8.08
2004,1년,여성,전국,전체,82.25,80.08,81.84,82.5,82.79,84.22,4.13
2005,1년,전체,전국,전체,79.42,75.78,79.04,79.57,80.7,82.57,6.79
2005,1년,남성,전국,전체,75.9,71.5,75.41,76.24,77.61,79.71,8.21
2005,1년,여성,전국,전체,82.52,80.15,82.32,82.46,83.25,84.67,4.52
2006,1년,전체,전국,전체,79.9,76.01,79.83,80.08,81.15,83.03,7.02
2006,1년,남성,전국,전체,76.41,71.77,76.25,76.83,78.05,80.08,8.31
2006,1년,여성,전국,전체,82.95,80.32,82.96,82.88,83.69,85.15,4.83
2007,1년,전체,전국,전체,80.35,76.53,80.27,80.61,81.59,83.29,6.76
2007,1년,남성,전국,전체,76.82,72.33,76.78,77.24,78.47,80.13,7.8
2007,1년,여성,전국,전체,83.4,80.81,83.31,83.45,84.1,85.57,4.77
2008,1년,전체,전국,전체,80.85,76.85,80.75,81.05,82.04,84.33,7.48
2008,1년,남성,전국,전체,77.21,72.63,77.1,77.6,78.89,80.85,8.22
2008,1년,여성,전국,전체,83.96,81.15,83.9,83.95,84.5,86.77,5.62
2009,1년,전체,전국,전체,81.33,77.4,81.13,81.56,82.69,84.52,7.12
2009,1년,남성,전국,전체,77.66,73.07,77.49,78,79.5,81.19,8.12
2009,1년,여성,전국,전체,84.43,81.73,84.29,84.52,85.12,86.84,5.11
2010,1년,전체,전국,전체,81.46,77.61,81.37,81.69,82.81,84.44,6.83
2010,1년,남성,전국,전체,77.83,73.32,77.78,78.11,79.53,81.29,7.97
2010,1년,여성,전국,전체,84.53,81.93,84.4,84.66,85.3,86.58,4.64
2011,1년,전체,전국,전체,81.88,78.19,81.66,82.16,82.94,85.13,6.94
2011,1년,남성,전국,전체,78.26,74.01,78.15,78.68,79.59,81.65,7.65
2011,1년,여성,전국,전체,84.9,82.34,84.62,84.94,85.52,87.48,5.14
2012,1년,전체,전국,전체,82.07,78.25,81.88,82.37,83.24,85.39,7.14
2012,1년,남성,전국,전체,78.5,74.17,78.31,78.91,80.09,81.9,7.73
2012,1년,여성,전국,전체,85.12,82.41,84.94,85.23,85.64,87.86,5.45
2013,1년,전체,전국,전체,82.59,78.68,82.38,82.83,84.01,85.91,7.23
2013,1년,남성,전국,전체,79.09,74.71,78.96,79.44,80.83,82.43,7.72
2013,1년,여성,전국,전체,85.54,82.68,85.27,85.61,86.39,88.42,5.75
2014,1년,전체,전국,전체,83,79.15,82.79,83.33,84.38,86.11,6.96
2014,1년,남성,전국,전체,79.53,75.01,79.46,80.07,81.21,82.77,7.76
2014,1년,여성,전국,전체,85.95,83.31,85.69,85.95,86.78,88.49,5.19
2015,1년,전체,전국,전체,83.37,79.48,83.22,83.66,84.76,86.57,7.09
2015,1년,남성,전국,전체,79.95,75.55,79.86,80.45,81.65,83.11,7.57
2015,1년,여성,전국,전체,86.3,83.45,86.2,86.26,87.12,89.17,5.73
2016,1년,전체,전국,전체,83.59,79.59,83.43,84.07,85.08,86.58,6.99
2016,1년,남성,전국,전체,80.24,75.72,80.17,80.91,81.86,83.36,7.64
2016,1년,여성,전국,전체,86.49,83.49,86.34,86.67,87.63,88.99,5.5
2017,1년,전체,전국,전체,83.92,79.93,83.87,84.42,85.33,86.87,6.94
2017,1년,남성,전국,전체,80.63,76.03,80.68,81.26,82.37,83.72,7.7
2017,1년,여성,전국,전체,86.81,83.92,86.76,87.08,87.6,89.3,5.38
2018,1년,전체,전국,전체,83.92,79.66,84.02,84.47,85.53,86.81,7.16
2018,1년,남성,전국,전체,80.7,75.82,81.08,81.37,82.62,83.55,7.74
2018,1년,여성,전국,전체,86.76,83.61,86.65,87.11,87.74,89.57,5.96
2019,1년,전체,전국,전체,84.57,79.88,84.76,85.28,86.19,87.73,7.85
2019,1년,남성,전국,전체,81.3,75.96,81.68,82.21,83.15,84.5,8.53
2019,1년,여성,전국,전체,87.44,83.89,87.5,87.86,88.58,90.3,6.41
2007,4년,전체,서울특별시,전체,81.3,78.89,80.38,81.18,82.22,84.25,5.36
2007,4년,남성,서울특별시,전체,78.16,74.87,77.3,78.08,79.62,81.59,6.72
2007,4년,여성,서울특별시,전체,83.9,82.63,83.04,83.75,84.24,86.05,3.42
2008,4년,전체,서울특별시,전체,81.76,79.26,80.95,81.59,82.62,84.86,5.6
2008,4년,남성,서울특별시,전체,78.53,75.22,77.84,78.42,79.88,82.02,6.8
2008,4년,여성,서울특별시,전체,84.38,82.99,83.59,84.18,84.71,86.7,3.72
2009,4년,전체,서울특별시,전체,82.27,79.59,81.47,82.21,83.19,85.4,5.81
2009,4년,남성,서울특별시,전체,78.95,75.51,78.26,78.99,80.33,82.35,6.85
2009,4년,여성,서울특별시,전체,84.93,83.36,84.17,84.78,85.3,87.34,3.98
2010,4년,전체,서울특별시,전체,82.68,79.94,81.9,82.65,83.66,85.78,5.84
2010,4년,남성,서울특별시,전체,79.32,75.84,78.7,79.36,80.71,82.65,6.81
2010,4년,여성,서울특별시,전체,85.34,83.7,84.54,85.21,85.75,87.78,4.08
2011,4년,전체,서울특별시,전체,83.06,80.23,82.31,83.01,84.05,86.31,6.09
2011,4년,남성,서울특별시,전체,79.68,76.2,79.08,79.73,80.97,83.08,6.88
2011,4년,여성,서울특별시,전체,85.7,83.9,84.94,85.51,86.21,88.35,4.44
2012,4년,전체,서울특별시,전체,83.31,80.39,82.53,83.3,84.37,86.68,6.29
2012,4년,남성,서울특별시,전체,79.98,76.38,79.35,80.13,81.38,83.34,6.96
2012,4년,여성,서울특별시,전체,85.92,84.09,85.12,85.71,86.42,88.83,4.75
2013,4년,전체,서울특별시,전체,83.56,80.65,82.75,83.51,84.66,87.01,6.35
2013,4년,남성,서울특별시,전체,80.31,76.76,79.61,80.46,81.81,83.6,6.84
2013,4년,여성,서울특별시,전체,86.11,84.23,85.35,85.82,86.63,89.24,5
2014,4년,전체,서울특별시,전체,83.88,80.92,83.05,83.91,84.95,87.44,6.52
2014,4년,남성,서울특별시,전체,80.66,77.04,79.94,80.98,82.08,84.02,6.97
2014,4년,여성,서울특별시,전체,86.44,84.54,85.66,86.14,86.99,89.68,5.14
2015,4년,전체,서울특별시,전체,84.23,81.14,83.48,84.24,85.44,87.76,6.62
2015,4년,남성,서울특별시,전체,81.1,77.36,80.48,81.45,82.61,84.45,7.08
2015,4년,여성,서울특별시,전체,86.73,84.69,86.02,86.39,87.43,89.95,5.26
2016,4년,전체,서울특별시,전체,84.54,81.39,83.78,84.68,85.86,87.83,6.45
2016,4년,남성,서울특별시,전체,81.46,77.72,80.77,81.96,82.93,84.69,6.97
2016,4년,여성,서울특별시,전체,87.04,84.84,86.37,86.77,88,89.93,5.09
2017,4년,전체,서울특별시,전체,84.86,81.63,84.21,85.09,86.21,87.89,6.26
2017,4년,남성,서울특별시,전체,81.8,77.96,81.28,82.38,83.22,84.89,6.93
2017,4년,여성,서울특별시,전체,87.37,85.11,86.78,87.17,88.47,89.93,4.81
2018,4년,전체,서울특별시,전체,85.09,81.72,84.58,85.32,86.55,88.05,6.34
2018,4년,남성,서울특별시,전체,82.06,78.08,81.64,82.61,83.61,85.06,6.98
2018,4년,여성,서울특별시,전체,87.62,85.17,87.22,87.46,88.76,90.25,5.08
2019,4년,전체,서울특별시,전체,85.38,81.83,84.92,85.73,86.85,88.34,6.51
2019,4년,남성,서울특별시,전체,82.32,78.08,82.02,82.96,84.02,85.28,7.2
2019,4년,여성,서울특별시,전체,87.99,85.43,87.55,87.99,89.02,90.79,5.37
2009,6년,전체,서울특별시,종로구,81.93,77.78,81.38,82.14,83.92,85.52,7.74
2009,6년,남성,서울특별시,종로구,78.83,73.49,78.97,79.67,80.78,82.68,9.2
2009,6년,여성,서울특별시,종로구,84.62,82.12,83.44,84.29,86.33,87.86,5.74
2010,6년,전체,서울특별시,종로구,82.25,77.93,82.39,82.12,83.9,85.76,7.83
2010,6년,남성,서울특별시,종로구,78.92,73.48,79.4,79.09,80.51,83.83,10.36
