District,City,year,pm25,pm10,so2,o3,no2,co
강원도,강릉,2015,19.75,48.583,0.004,0.03,0.012,0.467
강원도,강릉,2016,27.25,47.25,0.003,0.03,0.014,0.483
강원도,강릉,2017,24.667,43.667,0.003,0.031,0.012,0.425
강원도,강릉,2018,19.5,35.0,0.003,0.034,0.013,0.325
강원도,강릉,2019,18.091,35.455,0.002,0.037,0.012,0.309
강원도,강릉,2020,14.273,29.667,0.002,0.036,0.012,0.458
강원도,강릉,2021,11.25,32.0,0.003,0.036,0.011,0.325
강원도,강릉,2022,13.545,26.818,0.002,0.037,0.01,0.282
강원도,고성,2015,,,,,,
강원도,고성,2016,,,,,,
강원도,고성,2017,,,,,,
강원도,고성,2018,17.0,28.0,0.002,0.024,0.006,0.4
강원도,고성,2019,16.833,32.417,0.002,0.034,0.006,0.425
강원도,고성,2020,13.25,25.083,0.002,0.034,0.005,0.358
강원도,고성,2021,13.25,25.5,0.002,0.033,0.004,0.408
강원도,고성,2022,13.727,21.545,0.002,0.036,0.004,0.373
강원도,동해,2015,,40.083,0.004,0.027,0.018,0.533
강원도,동해,2016,20.75,37.417,0.002,0.027,0.017,0.492
강원도,동해,2017,19.583,35.75,0.003,0.03,0.016,0.475
강원도,동해,2018,19.083,34.167,0.002,0.032,0.016,0.4
강원도,동해,2019,18.75,32.917,0.002,0.032,0.016,0.433
강원도,동해,2020,16.25,25.25,0.002,0.026,0.012,0.408
강원도,동해,2021,16.182,26.909,0.002,0.028,0.012,0.442
강원도,동해,2022,14.0,25.455,0.002,0.037,0.012,0.373
강원도,삼척,2015,,42.083,0.004,0.03,0.019,0.55
강원도,삼척,2016,23.25,43.417,0.003,0.03,0.016,0.483
강원도,삼척,2017,21.583,37.417,0.003,0.03,0.014,0.392
강원도,삼척,2018,18.167,31.833,0.002,0.031,0.014,0.383
강원도,삼척,2019,17.25,31.833,0.002,0.031,0.014,0.358
강원도,삼척,2020,12.917,24.75,0.003,0.027,0.011,0.342
강원도,삼척,2021,10.917,24.0,0.003,0.028,0.011,0.35
강원도,삼척,2022,13.364,22.818,0.002,0.035,0.011,0.327
강원도,속초,2015,,,,,,
강원도,속초,2016,,,,,,
강원도,속초,2017,,,,,,
강원도,속초,2018,,,,,,
강원도,속초,2019,17.083,36.667,0.005,0.039,0.011,0.467
강원도,속초,2020,11.417,32.0,0.004,0.035,0.009,0.417
강원도,속초,2021,12.5,27.667,0.003,0.032,0.009,0.417
강원도,속초,2022,10.727,23.273,0.002,0.033,0.009,0.327
