,Country,District,City,date,pm25,pm10,so2,o3,no2,co
0,South Korea,강원도,강릉,2015.01,20,48,0.007,0.022,0.014,0.8
1,South Korea,강원도,강릉,2015.02,24,74,0.007,0.025,0.014,0.6
2,South Korea,강원도,강릉,2015.03,25,72,0.006,0.032,0.015,0.6
3,South Korea,강원도,강릉,2015.04,20,55,0.004,0.037,0.012,0.4
4,South Korea,강원도,강릉,2015.05,21,54,0.003,0.046,0.012,0.4
5,South Korea,강원도,강릉,2015.06,21,43,0.003,0.039,0.011,0.3
6,South Korea,강원도,강릉,2015.07,17,34,0.002,0.027,0.01,0.3
7,South Korea,강원도,강릉,2015.08,22,37,0.002,0.033,0.009,0.3
8,South Korea,강원도,강릉,2015.09,12,34,0.002,0.026,0.01,0.4
9,South Korea,강원도,강릉,2015.1,16,47,0.003,0.031,0.013,0.4
10,South Korea,강원도,강릉,2015.11,14,39,0.004,0.022,0.014,0.5
11,South Korea,강원도,강릉,2015.12,25,46,0.005,0.021,0.016,0.6
12,South Korea,강원도,강릉,2016.01,28,43,0.004,0.026,0.015,0.6
13,South Korea,강원도,강릉,2016.02,28,49,0.005,0.029,0.015,0.8
14,South Korea,강원도,강릉,2016.03,35,63,0.005,0.034,0.018,0.5
15,South Korea,강원도,강릉,2016.04,30,69,0.003,0.042,0.015,0.4
16,South Korea,강원도,강릉,2016.05,32,58,0.002,0.048,0.015,0.4
17,South Korea,강원도,강릉,2016.06,30,44,0.002,0.039,0.014,0.3
18,South Korea,강원도,강릉,2016.07,23,33,0.002,0.026,0.011,0.3
19,South Korea,강원도,강릉,2016.08,17,33,0.002,0.026,0.007,0.3
20,South Korea,강원도,강릉,2016.09,25,38,0.002,0.024,0.009,0.4
21,South Korea,강원도,강릉,2016.1,24,44,0.003,0.023,0.014,0.5
22,South Korea,강원도,강릉,2016.11,29,53,0.004,0.023,0.017,0.7
23,South Korea,강원도,강릉,2016.12,26,40,0.005,0.022,0.015,0.6
24,South Korea,강원도,강릉,2017.01,30,48,0.005,0.011,0.011,0.6
25,South Korea,강원도,강릉,2017.02,29,52,0.004,0.031,0.013,0.5
26,South Korea,강원도,강릉,2017.03,37,62,0.004,0.015,0.015,0.4
27,South Korea,강원도,강릉,2017.04,27,55,0.003,0.048,0.008,0.3
28,South Korea,강원도,강릉,2017.05,29,61,0.003,0.052,0.014,0.3
29,South Korea,강원도,강릉,2017.06,24,38,0.001,0.042,0.012,0.3
30,South Korea,강원도,강릉,2017.07,21,33,0.001,0.033,0.011,0.2
31,South Korea,강원도,강릉,2017.08,15,29,0.002,0.022,0.013,0.3
32,South Korea,강원도,강릉,2017.09,21,41,0.003,0.034,0.012,0.5
33,South Korea,강원도,강릉,2017.1,17,39,0.003,0.026,0.011,0.5
34,South Korea,강원도,강릉,2017.11,21,37,0.003,0.029,0.012,0.6
35,South Korea,강원도,강릉,2017.12,25*,29,0.004,0.025,0.012,0.6
36,South Korea,강원도,강릉,2018.01,27*,33,0.005,0.027,0.02,0.5
37,South Korea,강원도,강릉,2018.02,23,37,0.005,0.03,0.011,0.5
38,South Korea,강원도,강릉,2018.03,25,37,0.005,0.038,0.015,0.4
39,South Korea,강원도,강릉,2018.04,24,49,0.002,0.044,0.015,0.3
40,South Korea,강원도,강릉,2018.05,21,47,0.002,0.046,0.013,0.3
41,South Korea,강원도,강릉,2018.06,18,37,0.002,0.048,0.013,0.3
42,South Korea,강원도,강릉,2018.07,17,32,0.002,0.033,0.011,0.2
43,South Korea,강원도,강릉,2018.08,13,31,0.002,0.025,0.01,0.3
44,South Korea,강원도,강릉,2018.09,17,24,0.003,0.027,0.012,0.3
45,South Korea,강원도,강릉,2018.1,14**,17**,0.003**,0.033**,0.006**,0.2**
46,South Korea,강원도,강릉,2018.11,19,46,0.003,0.028,0.018,0.3
47,South Korea,강원도,강릉,2018.12,16,30,0.004,0.024,0.017,0.3
48,South Korea,강원도,강릉,2019.01,23,41,0.005,0.029,0.017,0.3
49,South Korea,강원도,강릉,2019.02,25,42,0.004,0.034,0.016,0.4
50,South Korea,강원도,강릉,2019.03,32,51,0.003,0.046,0.014,0.3
51,South Korea,강원도,강릉,2019.04,16,36,0.002,0.042,0.013,0.3
52,South Korea,강원도,강릉,2019.05,21,47,0.002,0.059,0.012,0.3
53,South Korea,강원도,강릉,2019.06,16,32,0.002,0.045,0.01,0.3
54,South Korea,강원도,강릉,2019.07,14,29,0.001,0.038,0.008,0.3
55,South Korea,강원도,강릉,2019.08,12,28,0.001,0.034,0.009,0.4
56,South Korea,강원도,강릉,2019.09,10,25,0.001,0.028,0.009,0.2
57,South Korea,강원도,강릉,2019.1,13*,29*,0.001*,0.026*,0.009*,0.2*
58,South Korea,강원도,강릉,2019.11,-,-,-,-,-,-
59,South Korea,강원도,강릉,2019.12,17,30,0.002,0.028,0.015,0.4
60,South Korea,강원도,강릉,2020.01,14,25,0.002,0.028,0.014,0.5
61,South Korea,강원도,강릉,2020.02,19,32,0.003,0.033,0.014,0.6*
62,South Korea,강원도,강릉,2020.03,16,36,0.002,0.039,0.011,0.4
63,South Korea,강원도,강릉,2020.04,15,38,0.002,0.047,0.011**,0.3
64,South Korea,강원도,강릉,2020.05,12,32,0.003,0.042,0.011,0.5
65,South Korea,강원도,강릉,2020.06,18,42,0.003,0.047,0.01,0.4
66,South Korea,강원도,강릉,2020.07,8,14**,0.002,0.029,0.01,0.5
67,South Korea,강원도,강릉,2020.08,11,17,0.002,0.026,0.011,0.5
68,South Korea,강원도,강릉,2020.09,11,27,0.003,0.035,0.009,0.5
69,South Korea,강원도,강릉,2020.1,14,31,0.002,0.037,0.01,0.5
70,South Korea,강원도,강릉,2020.11,19*,32,0.003,0.033,0.013,0.4
71,South Korea,강원도,강릉,2020.12,-,30,0.003,0.033,0.014,0.4
72,South Korea,강원도,강릉,2021.01,12**,32,0.003,0.031,0.015,0.4
73,South Korea,강원도,강릉,2021.02,17,39,0.003,0.037,0.014,0.3
74,South Korea,강원도,강릉,2021.03,16,55,0.003,0.04,0.015,0.5
75,South Korea,강원도,강릉,2021.04,13,45,0.002,0.046,0.011,0.3
76,South Korea,강원도,강릉,2021.05,14,50,0.002,0.048,0.009,0.4
77,South Korea,강원도,강릉,2021.06,10,28,0.002,0.04,0.01,0.4
78,South Korea,강원도,강릉,2021.07,9,21,0.002,0.03,0.01,0.3
