Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
0,강원도,강릉,2010,28.362,48.0,0.007,0.024,0.02,0.6,79.83
1,강원도,강릉,2010,29.529,51.0,0.006,0.022,0.022,0.6,79.83
2,강원도,강릉,2010,33.418,62.0,0.006,0.028,0.02,0.5,79.83
3,강원도,강릉,2010,27.456,51.0,0.006,0.036,0.02,0.5,79.83
4,강원도,강릉,2010,25.718,51.0,0.004,0.044,0.017,0.4,79.83
5,강원도,강릉,2010,23.264,45.0,0.003,0.035,0.022,0.4,79.83
6,강원도,강릉,2010,19.223,33.0,0.003,0.023,0.015,0.3,79.83
7,강원도,강릉,2010,21.389,35.0,0.004,0.019,0.016,0.4,79.83
8,강원도,강릉,2010,16.237,26.0,0.002,0.02,0.014,0.3,79.83
9,강원도,강릉,2010,19.211,31.0,0.004,0.022,0.016,0.4,79.83
10,강원도,강릉,2010,31.568,57.0,0.006,0.026,0.018,0.5,79.83
11,강원도,강릉,2010,29.625,52.0,0.006,0.023,0.018,0.5,79.83
12,강원도,강릉,2011,24.576,39.0,0.008,0.024,0.019,0.6,80.56
13,강원도,강릉,2011,35.724,62.0,0.011,0.025,0.025,0.7,80.56
14,강원도,강릉,2011,35.694,67.0,0.009,0.035,0.019,0.5,80.56
15,강원도,강릉,2011,31.992,62.0,0.006,0.043,0.017,0.5,80.56
16,강원도,강릉,2011,31.796,62.0,0.004,0.035,0.017,0.4,80.56
17,강원도,강릉,2011,19.079,36.0,0.004,0.039,0.014,0.3,80.56
18,강원도,강릉,2011,16.58,27.0,0.002,0.021,0.014,0.3,80.56
19,강원도,강릉,2011,14.381,22.0,0.002,0.022,0.012,0.3,80.56
20,강원도,강릉,2011,16.323,27.0,0.003,0.027,0.012,0.3,80.56
21,강원도,강릉,2011,21.953,38.0,0.004,0.026,0.016,0.4,80.56
22,강원도,강릉,2011,26.755,45.0,0.006,0.021,0.017,0.5,80.56
23,강원도,강릉,2011,23.658,37.0,0.008,0.021,0.016,0.5,80.56
24,강원도,강릉,2012,33.357,53.0,0.011,0.017,0.017,0.7,80.87
25,강원도,강릉,2012,28.011,46.0,0.008,0.019,0.016,0.5,80.87
26,강원도,강릉,2012,29.113,50.0,0.007,0.029,0.016,0.6,80.87
27,강원도,강릉,2012,29.933,57.0,0.004,0.034,0.014,0.4,80.87
28,강원도,강릉,2012,24.904,47.0,0.004,0.037,0.015,0.4,80.87
29,강원도,강릉,2012,20.909,38.0,0.003,0.03,0.013,0.3,80.87
30,강원도,강릉,2012,16.311,27.0,0.002,0.026,0.011,0.3,80.87
31,강원도,강릉,2012,14.918,21.0,0.002,0.02,0.011,0.4,80.87
