시도,시군구,2020,2019,2018,2017,2016,2015
전국,전국,0.67,1.01,1.29,0.89,0.85,0.44
서울특별시,서울특별시,0.68,1.37,1.62,1.3,1.11,0.4
서울특별시,종로구,0.67,0.0,1.3,1.95,0.65,0.64
서울특별시,중구,1.59,3.18,4.77,2.39,0.0,0.0
서울특별시,용산구,1.31,1.31,1.31,0.87,1.29,0.85
서울특별시,성동구,0.67,0.99,1.3,1.32,0.67,0.0
서울특별시,광진구,0.29,2.26,0.84,2.52,1.39,0.0
서울특별시,동대문구,1.74,1.15,1.14,0.85,1.12,0.0
서울특별시,중랑구,1.26,1.75,2.46,2.2,1.94,0.24
서울특별시,성북구,0.68,0.68,2.73,1.34,0.66,0.43
서울특별시,강북구,0.64,0.95,2.49,0.92,1.52,1.2
서울특별시,도봉구,0.0,1.49,1.46,0.87,1.72,1.42
서울특별시,노원구,0.0,1.67,2.55,1.43,0.7,0.86
서울특별시,은평구,0.21,0.21,1.86,1.23,0.2,0.2
서울특별시,서대문구,0.32,1.61,1.6,1.59,0.64,0.32
서울특별시,마포구,0.54,2.14,0.27,2.38,1.04,0.52
서울특별시,양천구,0.22,0.65,0.64,0.84,1.25,0.21
서울특별시,강서구,0.51,1.35,1.5,0.5,2.03,0.17
서울특별시,구로구,0.99,0.99,2.45,0.97,1.19,0.94
서울특별시,금천구,0.43,1.29,2.13,2.55,0.85,0.42
서울특별시,영등포구,0.0,1.36,1.63,1.89,2.14,0.53
서울특별시,동작구,2.03,1.77,1.26,0.75,0.25,0.25
서울특별시,관악구,1.21,2.0,1.59,1.39,0.79,0.2
서울특별시,서초구,0.0,0.69,1.37,1.13,0.89,0.45
서울특별시,강남구,0.92,1.1,1.09,0.71,1.57,0.17
서울특별시,송파구,0.74,2.38,0.6,1.06,1.37,0.15
서울특별시,강동구,0.89,1.39,2.55,1.36,0.66,0.21
부산광역시,부산광역시,0.56,0.88,1.27,1.18,1.03,0.51
부산광역시,중구,2.4,2.36,2.3,0.0,0.0,0.0
부산광역시,서구,0.0,4.57,1.81,0.9,2.62,0.85
부산광역시,동구,0.0,0.0,0.0,1.12,0.0,0.0
부산광역시,영도구,0.87,1.69,1.64,2.4,0.0,0.0
부산광역시,부산진구,0.84,0.83,3.27,1.6,0.53,0.52
부산광역시,동래구,1.48,0.74,1.12,0.74,1.47,0.0
부산광역시,남구,1.48,0.72,1.81,0.72,1.07,0.35
부산광역시,북구,0.0,0.0,0.33,1.63,0.64,0.32
부산광역시,해운대구,0.49,1.23,0.97,0.48,0.95,1.65
부산광역시,사하구,0.63,0.62,0.3,1.5,0.59,0.0
부산광역시,금정구,0.0,0.41,1.23,0.82,0.82,1.21
부산광역시,강서구,0.75,0.0,0.83,0.88,0.98,0.0
부산광역시,연제구,0.0,0.96,0.48,1.93,0.48,0.0
부산광역시,수영구,0.0,1.7,2.25,0.56,1.11,0.56
부산광역시,사상구,0.46,0.45,1.33,0.87,2.98,0.42
부산광역시,기장군,0.0,0.61,0.61,2.5,1.93,0.67
대구광역시,대구광역시,0.54,0.24,0.53,0.4,0.4,0.04
대구광역시,중구,0.0,0.0,1.26,1.26,1.25,0.0
대구광역시,동구,0.29,0.29,0.29,0.0,0.86,0.0
대구광역시,서구,1.16,0.56,0.53,0.51,0.49,0.0
대구광역시,남구,2.04,0.67,0.66,0.65,0.0,0.0
대구광역시,북구,0.23,0.23,0.68,0.45,0.23,0.0
대구광역시,수성구,0.7,0.0,1.15,0.23,0.22,0.0
대구광역시,달서구,0.35,0.35,0.0,0.68,0.33,0.17
대구광역시,달성군,0.39,0.0,0.4,0.0,0.49,0.0
인천광역시,인천광역시,0.81,1.08,1.56,0.92,1.06,0.72
인천광역시,중구,0.73,1.55,0.0,2.57,2.61,0.88
인천광역시,동구,1.58,0.0,0.0,1.42,0.0,0.0
인천광역시,남구,0.0,0.0,0.0,1.2,2.68,1.97
인천광역시,연수구,0.27,0.56,1.76,0.6,0.93,0.32
인천광역시,남동구,1.32,0.93,1.12,1.12,0.19,0.38
인천광역시,부평구,0.6,1.16,0.19,0.55,0.9,0.54
인천광역시,계양구,0.33,1.62,3.14,1.53,0.9,0.89
인천광역시,서구,0.37,0.37,0.19,0.39,0.59,0.2
인천광역시,미추홀구,1.72,2.18,4.55,0.0,0.0,0.0
인천광역시,강화군,1.45,1.45,4.36,0.0,2.95,0.0
인천광역시,옹진군,0.0,0.0,0.0,0.0,0.0,9.6
광주광역시,광주광역시,0.28,0.55,0.48,0.41,0.34,0.0
광주광역시,동구,0.0,3.11,1.05,0.0,0.0,0.0
광주광역시,서구,0.0,0.0,0.0,0.65,0.98,0.0
광주광역시,남구,0.0,0.46,0.0,0.0,0.45,0.0
광주광역시,북구,0.46,0.23,0.23,0.45,0.0,0.0
광주광역시,광산구,0.49,0.74,1.24,0.5,0.25,0.0
대전광역시,대전광역시,0.61,0.67,0.47,0.2,0.66,0.07
대전광역시,동구,1.33,0.88,1.31,0.43,0.84,0.0
대전광역시,중구,0.42,0.82,0.41,0.4,0.39,0.0
대전광역시,서구,0.42,1.04,0.0,0.2,0.41,0.0
대전광역시,유성구,0.0,0.29,0.57,0.0,0.88,0.0
대전광역시,대덕구,1.7,0.0,0.54,0.0,1.03,0.5
울산광역시,울산광역시,0.53,0.35,1.72,0.51,1.02,1.2
울산광역시,중구,0.45,0.0,1.27,0.42,1.23,2.07
울산광역시,남구,0.93,0.31,0.3,0.0,0.88,1.45
울산광역시,동구,0.0,0.62,5.39,1.16,1.14,1.71
울산광역시,북구,0.0,0.94,0.98,1.01,0.52,0.53
울산광역시,울주군,0.9,0.0,2.26,0.45,1.37,0.0
세종특별자치시,세종특별자치시,0.29,0.61,0.34,0.0,0.44,0.55
세종특별자치시,세종시,0.29,0.0,0.0,0.0,0.0,0.0
경기도,경기도,0.7,1.08,1.31,0.7,0.68,0.46
경기도,수원시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,수원시 장안구,0.0,0.35,1.72,0.34,0.67,0.33
경기도,수원시 권선구,0.27,1.07,1.61,0.0,0.85,0.58
경기도,수원시 팔달구,1.71,2.8,1.07,1.02,1.01,0.5
경기도,수원시 영통구,0.81,0.28,0.28,0.0,0.0,0.3
경기도,성남시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,성남시 수정구,0.84,2.13,0.85,1.7,0.0,0.45
경기도,성남시 중원구,0.92,0.9,0.44,0.0,0.41,0.0
경기도,성남시 분당구,0.62,1.02,1.21,0.8,0.6,0.0
경기도,의정부시,0.88,1.33,0.68,0.23,1.15,0.23
경기도,안양시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,안양시 만안구,0.83,1.61,1.58,1.18,2.0,1.62
경기도,안양시 동안구,0.32,0.62,1.52,0.59,0.58,0.0
경기도,부천시,0.97,1.91,2.01,1.06,1.18,1.17
경기도,부천시 원미구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,부천시 소사구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,부천시 오정구,0.0,0.0,0.0,0.0,0.0,0.0
경기도,광명시,1.63,1.24,1.82,0.0,0.29,0.0
경기도,평택시,0.38,0.59,0.82,0.21,0.0,0.22
경기도,평택시 평택,0.0,0.0,0.0,0.0,0.0,0.0
경기도,평택시 송탄,0.0,0.0,0.0,0.0,0.0,0.0
경기도,동두천시,1.06,3.14,2.07,2.05,2.04,0.0
경기도,안산시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,안산시 상록구,0.29,0.57,0.55,0.8,1.59,1.58
경기도,안산시 단원구,0.33,0.33,0.0,0.64,0.0,0.93
경기도,고양시,0.0,0.0,0.0,0.0,0.0,0.0
경기도,고양시 덕양구,0.42,1.31,0.67,0.45,1.13,0.23
경기도,고양시 일산동구,0.0,1.35,1.36,0.34,1.04,1.05
경기도,고양시 일산서구,0.66,1.33,2.68,0.33,1.66,0.67
경기도,과천시,0.0,0.0,0.0,0.0,1.51,0.0
경기도,구리시,2.02,1.49,0.5,0.51,1.58,0.0
경기도,남양주시,0.0,0.58,1.34,0.9,0.46,0.31
